NRP,name,email,password
5025211001,Lelouch Lamperouge,lelouch.lamperouge@example.com,XNyqurMz
5025211002,Suzaku Kururugi,suzaku.kururugi@example.com,EXc7yocp
5025211003,C.C.,c.c.@example.com,fU6Pcjop
5025211004,Kallen Stadtfeld,kallen.stadtfeld@example.com,SIX7k0a8
5025211005,Euphemia li Britannia,euphemia.li.britannia@example.com,04QRD1Du
5025211006,Yusuke Urameshi,yusuke.urameshi@example.com,iPNtXk2R
5025211007,Kurama,kurama@example.com,SzgtHvqL
5025211008,Hiei,hiei@example.com,BfpEeVRU
5025211009,Kuwabara,kuwabara@example.com,Ma8Kp7ce
5025211010,Botan,botan@example.com,N5VoTGXu
5025211011,Gon Freecss,gon.freecss@example.com,F1YzX72V
5025211012,Killua Zoldyck,killua.zoldyck@example.com,RRruJKum
5025211013,Kurapika,kurapika@example.com,KuyGTiC2
5025211014,Hisoka,hisoka@example.com,VTE7F4Eb
5025211015,Leorio Paradinight,leorio.paradinight@example.com,h7kuDKDX
5025211016,Soma Yukihira,soma.yukihira@example.com,7UiM9X4O
5025211017,Erina Nakiri,erina.nakiri@example.com,QoIMggKp
5025211018,Megumi Tadokoro,megumi.tadokoro@example.com,Kq5CQf4c
5025211019,Takumi Aldini,takumi.aldini@example.com,rCj7nSRp
5025211020,Ryo Kurokiba,ryo.kurokiba@example.com,tl88Z7ZN
5025211021,Shoyo Hinata,shoyo.hinata@example.com,BLF8onsH
5025211022,Kageyama Tobio,kageyama.tobio@example.com,9YFlhAdn
5025211023,Kenma Kozume,kenma.kozume@example.com,17xRvbyE
5025211024,Tetsuro Kuroo,tetsuro.kuroo@example.com,0pLU5B4m
5025211025,Lev Haiba,lev.haiba@example.com,p8XQCEct
5025211026,Yukihira Soma,yukihira.soma@example.com,hNBKqa3Z
5025211027,Tadokoro Megumi,tadokoro.megumi@example.com,TTDJF6g8
5025211028,Erina Nakiri,erina.nakiri@example.com,gbD9kLTO
5025211029,Takumi Aldini,takumi.aldini@example.com,8WibX03y
5025211030,Ryo Kurokiba,ryo.kurokiba@example.com,daV5cB46
5025211031,Rimuru Tempest,rimuru.tempest@example.com,thvkvIsM
5025211032,Shuna,shuna@example.com,gWFe5145
5025211033,Shion,shion@example.com,iH6nuJZI
5025211034,Milim Nava,milim.nava@example.com,rR4ZS8Wi
5025211035,Benimaru,benimaru@example.com,2F7AnVkF
5025211036,Eren Jaeger,eren.jaeger@example.com,vloxB482
5025211037,Mikasa Ackerman,mikasa.ackerman@example.com,f2ehdb8b
5025211038,Armin Arlert,armin.arlert@example.com,YQmeF9Ys
5025211039,Levi Ackerman,levi.ackerman@example.com,M3aUFgRO
5025211040,Historia Reiss,historia.reiss@example.com,PjcveTl0
