NRP, name, email, password
5025211001, Lelouch Lamperouge, lelouch.lamperouge@example.com, MF3N2WaG
5025211002, Suzaku Kururugi, suzaku.kururugi@example.com, v2EshqIg
5025211003, C.C., c.c.@example.com, Dsl9o8aH
5025211004, Kallen Stadtfeld, kallen.stadtfeld@example.com, WCv85mRI
5025211005, Euphemia li Britannia, euphemia.li.britannia@example.com, 5yfk35oa
5025211006, Yusuke Urameshi, yusuke.urameshi@example.com, 8LkBXaAX
5025211007, Kurama, kurama@example.com, KJ7GXyDn
5025211008, Hiei, hiei@example.com, 4m2wJEgj
5025211009, Kuwabara, kuwabara@example.com, qYtUihBO
5025211010, Botan, botan@example.com, hdDA5J0c
5025211011, Gon Freecss, gon.freecss@example.com, ixxt0Daa
5025211012, Killua Zoldyck, killua.zoldyck@example.com, cfsSfOn5
5025211013, Kurapika, kurapika@example.com, 0EFLHD71
5025211014, Hisoka, hisoka@example.com, URifdOVZ
5025211015, Leorio Paradinight, leorio.paradinight@example.com, vFcRXjT5
5025211016, Soma Yukihira, soma.yukihira@example.com, jB8jyTbM
5025211017, Erina Nakiri, erina.nakiri@example.com, 3agh053q
5025211018, Megumi Tadokoro, megumi.tadokoro@example.com, pRDeTZ9q
5025211019, Takumi Aldini, takumi.aldini@example.com, 73l4wC5v
5025211020, Ryo Kurokiba, ryo.kurokiba@example.com, hAjOf8GE
5025211021, Shoyo Hinata, shoyo.hinata@example.com, Z1o0RT4c
5025211022, Kageyama Tobio, kageyama.tobio@example.com, LW25Idwd
5025211023, Kenma Kozume, kenma.kozume@example.com, WFPJ1bu4
5025211024, Tetsuro Kuroo, tetsuro.kuroo@example.com, RPVudDCz
5025211025, Lev Haiba, lev.haiba@example.com, EMKH9C7p
5025211026, Yukihira Soma, yukihira.soma@example.com, PSWLxtb0
5025211027, Tadokoro Megumi, tadokoro.megumi@example.com, f22rHSGQ
5025211028, Erina Nakiri, erina.nakiri@example.com, 2XZNDvVA
5025211029, Takumi Aldini, takumi.aldini@example.com, oFRsolEF
5025211030, Ryo Kurokiba, ryo.kurokiba@example.com, MVMh4X2a
5025211031, Rimuru Tempest, rimuru.tempest@example.com, hdPsGrYZ
5025211032, Shuna, shuna@example.com, ICRpS2dA
5025211033, Shion, shion@example.com, E2ZKHrMz
5025211034, Milim Nava, milim.nava@example.com, vuPlvFDj
5025211035, Benimaru, benimaru@example.com, gYiEm2zq
5025211036, Eren Jaeger, eren.jaeger@example.com, AIa87eFe
5025211037, Mikasa Ackerman, mikasa.ackerman@example.com, KCD1oVvA
5025211038, Armin Arlert, armin.arlert@example.com, mFui25L4
5025211039, Levi Ackerman, levi.ackerman@example.com, 3bEedNjv
5025211040, Historia Reiss, historia.reiss@example.com, aXTTSM0t
