NRP,name,email,password
5025221001,Naruto Uzumaki,naruto.uzumaki@example.com,o2qdfZaF
5025221002,Sasuke Uchiha,sasuke.uchiha@example.com,ziHacSbk
5025221003,Sakura Haruno,sakura.haruno@example.com,Wuj6TCLZ
5025221004,Kakashi Hatake,kakashi.hatake@example.com,Mp7MgsH3
5025221005,Hinata Hyuga,hinata.hyuga@example.com,iJ6I3eNn
5025221006,Itachi Uchiha,itachi.uchiha@example.com,bjuMopOo
5025221007,Shikamaru Nara,shikamaru.nara@example.com,ab8j2A5c
5025221008,Gaara,gaara@example.com,5HVPfuDv
5025221009,Rock Lee,rock.lee@example.com,rFcc575w
5025221010,Neji Hyuga,neji.hyuga@example.com,lWa4QezK
5025221011,Luffy,luffy@example.com,dwyb5JwS
5025221012,Zoro,zoro@example.com,5zlqMwRW
5025221013,Nami,nami@example.com,4jgd4QmL
5025221014,Sanji,sanji@example.com,HRqXeqAw
5025221015,Usopp,usopp@example.com,PZidV9BR
5025221016,Chopper,chopper@example.com,B2lPqzYI
5025221017,Robin,robin@example.com,gUw1kxUr
5025221018,Franky,franky@example.com,ECqTJNTN
5025221019,Brook,brook@example.com,5LicfH8Q
5025221020,Jinbe,jinbe@example.com,1bwlLRR4
5025221021,Goku,goku@example.com,gScN4vLW
5025221022,Vegeta,vegeta@example.com,DDNcPojM
5025221023,Gohan,gohan@example.com,lGqo3teb
5025221024,Piccolo,piccolo@example.com,Diq70iRZ
5025221025,Trunks,trunks@example.com,XPPgrZ0r
5025221026,Frieza,frieza@example.com,0p8r18GH
5025221027,Cell,cell@example.com,88AoUue2
5025221028,Majin Buu,majin.buu@example.com,BKeQWPxw
5025221029,Bulma,bulma@example.com,eAWAIUuR
5025221030,Krillin,krillin@example.com,ejTzjNut
5025221031,Ichigo Kurosaki,ichigo.kurosaki@example.com,ke2rczZv
5025221032,Rukia Kuchiki,rukia.kuchiki@example.com,s5zvyC14
5025221033,Orihime Inoue,orihime.inoue@example.com,IlqKrgOS
5025221034,Uryu Ishida,uryu.ishida@example.com,Bj9C8qN8
5025221035,Renji Abarai,renji.abarai@example.com,rRX1t2wr
5025221036,Byakuya Kuchiki,byakuya.kuchiki@example.com,Lz0hDUoB
5025221037,Sosuke Aizen,sosuke.aizen@example.com,WnFAfSDm
5025221038,Toshiro Hitsugaya,toshiro.hitsugaya@example.com,dWWoBBzE
5025221039,Kenpachi Zaraki,kenpachi.zaraki@example.com,CpTVavrq
5025221040,Yoruichi Shihouin,yoruichi.shihouin@example.com,y2JdtqEG
5025221041,Eren Yeager,eren.yeager@example.com,AEaRugp1
5025221042,Mikasa Ackerman,mikasa.ackerman@example.com,cD1teUQE
5025221043,Armin Arlert,armin.arlert@example.com,a3lVTnNL
5025221044,Levi Ackerman,levi.ackerman@example.com,yII4qmPK
5025221045,Erwin Smith,erwin.smith@example.com,6yLq7MZF
5025221046,Hange Zoe,hange.zoe@example.com,uFW30Jsk
5025221047,Jean Kirstein,jean.kirstein@example.com,QxUAlrLu
5025221048,Connie Springer,connie.springer@example.com,t2iyWGiE
5025221049,Sasha Blouse,sasha.blouse@example.com,FRosGx0H
5025221050,Historia Reiss,historia.reiss@example.com,ZarAocyN
5025221051,Light Yagami,light.yagami@example.com,eRK2JdCh
5025221052,L,l@example.com,1HRrGBSR
5025221053,Misa Amane,misa.amane@example.com,Sx5nCeDd
5025221054,Near,near@example.com,kBBxmgIF
5025221055,Mello,mello@example.com,5GcJ1Dlf
5025221056,Ryuk,ryuk@example.com,hEsTywTa
5025221057,Rem,rem@example.com,Bh1ncn1D
5025221058,Soichiro Yagami,soichiro.yagami@example.com,l9IPjoYh
5025221059,Touta Matsuda,touta.matsuda@example.com,0L5KfiOB
5025221060,Shuichi Aizawa,shuichi.aizawa@example.com,yR7J8RVe
5025221061,Edward Elric,edward.elric@example.com,NYdVthTB
5025221062,Alphonse Elric,alphonse.elric@example.com,ygyyn1JU
5025221063,Winry Rockbell,winry.rockbell@example.com,Zaq1l90g
5025221064,Roy Mustang,roy.mustang@example.com,JasJGnXY
5025221065,Riza Hawkeye,riza.hawkeye@example.com,qs0fuvgJ
5025221066,Scar,scar@example.com,fziWLMWd
5025221067,Lust,lust@example.com,yZCxpizp
5025221068,Envy,envy@example.com,ePqWgr9E
5025221069,Gluttony,gluttony@example.com,ydPcIZOh
5025221070,Pride,pride@example.com,Zquv6mD1
5025221071,Tanjiro Kamado,tanjiro.kamado@example.com,hz2wj9jj
5025221072,Nezuko Kamado,nezuko.kamado@example.com,YIVUHGOt
5025221073,Zenitsu Agatsuma,zenitsu.agatsuma@example.com,OjCCT7IA
5025221074,Inosuke Hashibira,inosuke.hashibira@example.com,zaJg7zmR
5025221075,Kyojuro Rengoku,kyojuro.rengoku@example.com,PZf9ATpr
5025221076,Giyu Tomioka,giyu.tomioka@example.com,pXdSmaiK
5025221077,Shinobu Kocho,shinobu.kocho@example.com,wxjR7XlU
5025221078,Tengen Uzui,tengen.uzui@example.com,JiAD6JJT
5025221079,Mitsuri Kanroji,mitsuri.kanroji@example.com,TsQwYxrv
5025221080,Muichiro Tokito,muichiro.tokito@example.com,u8yhDshj
5025221081,Izuku Midoriya,izuku.midoriya@example.com,PV5E4ksi
5025221082,Katsuki Bakugo,katsuki.bakugo@example.com,Dpa5aASj
5025221083,Ochaco Uraraka,ochaco.uraraka@example.com,NrYaW5tW
5025221084,Shoto Todoroki,shoto.todoroki@example.com,3huPtZkb
5025221085,All Might,all.might@example.com,ufZXD6lp
5025221086,Endeavor,endeavor@example.com,YXJu2VYz
5025221087,Tomura Shigaraki,tomura.shigaraki@example.com,d4ewQ5od
5025221088,Himiko Toga,himiko.toga@example.com,N40nngec
5025221089,Dabi,dabi@example.com,taFx2qN9
5025221090,Twice,twice@example.com,qAI3VgX7
